Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd);Homogenisert middeltemperatur, avvik fra normalen 19611990 (mnd)
Trondheim - Tyholt;SN68170;jan.38;-0,7;2,4
Trondheim - Tyholt;SN68170;feb.38;1,1;3,6
Trondheim - Tyholt;SN68170;mar.38;2,9;2,8
Trondheim - Tyholt;SN68170;apr.38;2,4;0,8
Trondheim - Tyholt;SN68170;mai.38;6,7;2
Trondheim - Tyholt;SN68170;jun.38;10,4;1,6
Trondheim - Tyholt;SN68170;jul.38;15,4;2,2
Trondheim - Tyholt;SN68170;aug.38;14,4;1,4
Trondheim - Tyholt;SN68170;sep.38;10,4;1,1
Trondheim - Tyholt;SN68170;okt.38;6,9;1,1
Trondheim - Tyholt;SN68170;nov.38;4,3;3,5
Trondheim - Tyholt;SN68170;des.38;0,1;1,6
Trondheim - Tyholt;SN68170;jan.39;-3;0,1
Trondheim - Tyholt;SN68170;feb.39;2;4,5
Trondheim - Tyholt;SN68170;mar.39;0,2;0,1
Trondheim - Tyholt;SN68170;apr.39;2,3;0,9
Trondheim - Tyholt;SN68170;mai.39;7,2;1,5
Trondheim - Tyholt;SN68170;jun.39;10,9;1,1
Trondheim - Tyholt;SN68170;jul.39;14,8;1,6
Trondheim - Tyholt;SN68170;aug.39;15,6;2,6
Trondheim - Tyholt;SN68170;sep.39;10,2;0,9
Trondheim - Tyholt;SN68170;okt.39;4,1;1,7
Trondheim - Tyholt;SN68170;nov.39;1,9;1,1
Trondheim - Tyholt;SN68170;des.39;-2,7;1,2
Trondheim - Tyholt;SN68170;jan.40;-6,8;3,7
Trondheim - Tyholt;SN68170;feb.40;-9,2;6,7
Trondheim - Tyholt;SN68170;mar.40;-3,2;3,3
Trondheim - Tyholt;SN68170;apr.40;2;1,2
Trondheim - Tyholt;SN68170;mai.40;10,7;2
Trondheim - Tyholt;SN68170;jun.40;12;0
Trondheim - Tyholt;SN68170;jul.40;13,2;0
Trondheim - Tyholt;SN68170;aug.40;11;2
Trondheim - Tyholt;SN68170;sep.40;8;1,3
Trondheim - Tyholt;SN68170;okt.40;5,5;0,3
Trondheim - Tyholt;SN68170;nov.40;1,3;0,5
Trondheim - Tyholt;SN68170;des.40;-2,5;1
Trondheim - Tyholt;SN68170;jan.41;-7,1;4
Trondheim - Tyholt;SN68170;feb.41;-5,7;3,2
Trondheim - Tyholt;SN68170;mar.41;-2,1;2,2
Trondheim - Tyholt;SN68170;apr.41;1,8;1,4
Trondheim - Tyholt;SN68170;mai.41;6,7;2
Trondheim - Tyholt;SN68170;jun.41;10,5;1,5
Trondheim - Tyholt;SN68170;jul.41;17,5;4,3
Trondheim - Tyholt;SN68170;aug.41;12,8;0,2
Trondheim - Tyholt;SN68170;sep.41;9,4;0,1
Trondheim - Tyholt;SN68170;okt.41;3,8;2
Trondheim - Tyholt;SN68170;nov.41;0,5;0,3
Trondheim - Tyholt;SN68170;des.41;-2,6;1,1
Trondheim - Tyholt;SN68170;jan.42;-9,6;6,5
Trondheim - Tyholt;SN68170;feb.42;-5,5;3
Trondheim - Tyholt;SN68170;mar.42;-4,7;4,8
Trondheim - Tyholt;SN68170;apr.42;3,5;0,3
Trondheim - Tyholt;SN68170;mai.42;7;1,7
Trondheim - Tyholt;SN68170;jun.42;9,9;2,1
Trondheim - Tyholt;SN68170;jul.42;12,2;1
Trondheim - Tyholt;SN68170;aug.42;13,4;0,4
Trondheim - Tyholt;SN68170;sep.42;8,8;0,5
Trondheim - Tyholt;SN68170;okt.42;5,3;0,5
Trondheim - Tyholt;SN68170;nov.42;2,4;1,6
Trondheim - Tyholt;SN68170;des.42;-1,1;0,4
Trondheim - Tyholt;SN68170;jan.43;-3,9;0,8
Trondheim - Tyholt;SN68170;feb.43;1;3,5
Trondheim - Tyholt;SN68170;mar.43;3;2,9
Trondheim - Tyholt;SN68170;apr.43;3,2;0
Trondheim - Tyholt;SN68170;mai.43;8;0,7
Trondheim - Tyholt;SN68170;jun.43;12,6;0,6
Trondheim - Tyholt;SN68170;jul.43;13,7;0,5
Trondheim - Tyholt;SN68170;aug.43;11,4;1,6
Trondheim - Tyholt;SN68170;sep.43;10;0,7
Trondheim - Tyholt;SN68170;okt.43;7,4;1,6
Trondheim - Tyholt;SN68170;nov.43;0,8;0
Trondheim - Tyholt;SN68170;des.43;1,1;2,6
Trondheim - Tyholt;SN68170;jan.44;-0,5;2,6
Trondheim - Tyholt;SN68170;feb.44;-0,6;1,9
Trondheim - Tyholt;SN68170;mar.44;-0,9;1
Trondheim - Tyholt;SN68170;apr.44;1,1;2,1
Trondheim - Tyholt;SN68170;mai.44;5,4;3,3
Trondheim - Tyholt;SN68170;jun.44;10,7;1,3
Trondheim - Tyholt;SN68170;jul.44;15,1;1,9
Trondheim - Tyholt;SN68170;aug.44;12,7;0,3
Trondheim - Tyholt;SN68170;sep.44;9,6;0,3
Trondheim - Tyholt;SN68170;okt.44;6,8;1
Trondheim - Tyholt;SN68170;nov.44;0,4;0,4
Trondheim - Tyholt;SN68170;des.44;1,1;2,6
Trondheim - Tyholt;SN68170;jan.45;-7,2;4,1
Trondheim - Tyholt;SN68170;feb.45;-1,1;1,4
Trondheim - Tyholt;SN68170;mar.45;2,1;2
Trondheim - Tyholt;SN68170;apr.45;4,3;1,1
Trondheim - Tyholt;SN68170;mai.45;7,8;0,9
Trondheim - Tyholt;SN68170;jun.45;12,1;0,1
Trondheim - Tyholt;SN68170;jul.45;15,6;2,4
Trondheim - Tyholt;SN68170;aug.45;14,3;1,3
Trondheim - Tyholt;SN68170;sep.45;9;0,3
Trondheim - Tyholt;SN68170;okt.45;4,8;1
Trondheim - Tyholt;SN68170;nov.45;1,5;0,7
Trondheim - Tyholt;SN68170;des.45;-2,2;0,7
Trondheim - Tyholt;SN68170;jan.46;-2,7;0,4
Trondheim - Tyholt;SN68170;feb.46;-5;2,5
Trondheim - Tyholt;SN68170;mar.46;-0,6;0,7
Trondheim - Tyholt;SN68170;apr.46;3,9;0,7
Trondheim - Tyholt;SN68170;mai.46;8,6;0,1
Trondheim - Tyholt;SN68170;jun.46;11,6;0,4
Trondheim - Tyholt;SN68170;jul.46;15,2;2
Trondheim - Tyholt;SN68170;aug.46;14,1;1,1
Trondheim - Tyholt;SN68170;sep.46;10,7;1,4
Trondheim - Tyholt;SN68170;okt.46;5,1;0,7
Trondheim - Tyholt;SN68170;nov.46;2,1;1,3
Trondheim - Tyholt;SN68170;des.46;0,2;1,7
Trondheim - Tyholt;SN68170;jan.47;-2,9;0,2
Trondheim - Tyholt;SN68170;feb.47;-8,7;6,2
Trondheim - Tyholt;SN68170;mar.47;-4,3;4,4
Trondheim - Tyholt;SN68170;apr.47;3;0,2
