species;kingdom;phylum;tempcat;N;Duration;regslope_year_leading;se_year_leading;regslope_temp_leading;se_temp_leading
Deschampsia atropurpurea;Plantae;Tracheophyta;cold;10;54;-0.0104861223567492;0.030705593514707;-0.982629341171852;0.573694747567094
Deschampsia cespitosa;Plantae;Tracheophyta;generalist;39;66;-0.00943645596536672;0.00822435781184865;-0.259551719776806;0.145989394193822
Diapensia lapponica;Plantae;Tracheophyta;semicold;25;50;-0.0261837614358953;0.00838836806261169;-0.389827705924983;0.170910682276581
Dichodontium pellucidum;Plantae;Bryophyta;generalist;5;98;0.00796052345393678;0.00753997786831989;0.244467525126008;0.284497509179109
Dicranella cerviculata;Plantae;Bryophyta;generalist;2;60;-0.0119805432888564;NA;-0.661093174071315;NA
Dicranum elongatum;Plantae;Bryophyta;cold;6;74;0.00657967958736707;0.00748741573068889;-0.126671327259205;0.335010978278651
Dicranum fragilifolium;Plantae;Bryophyta;cold;2;103;0.0146681568869914;NA;0.399186370315694;NA
Dicranum fuscescens;Plantae;Bryophyta;generalist;12;101;0.00872964546964085;0.0118186967719409;0.252422604453514;0.309130956428169
Dicranum majus;Plantae;Bryophyta;generalist;13;65;-0.00735914366628796;0.0129800412151222;-0.0311439622658721;0.274384068023501
Dicranum scoparium;Plantae;Bryophyta;generalist;20;91;0.00240774987140106;0.00822829507354176;0.452836304306971;0.237930315786319
Dicranum undulatum;Plantae;Bryophyta;generalist;3;73;0.0221908866525886;0.00434926073845118;2.38415124945852;0.210139528968884
Digitalis purpurea;Plantae;Tracheophyta;generalist;5;52;0.00356093490838959;0.00579878968263063;0.137529512595992;0.163408648104882
Diphasiastrum complanatum;Plantae;Tracheophyta;semicold;4;66;-0.010650726158645;0.0219285060423458;-0.852018511178175;0.192524589042143
Diplophyllum albicans;Plantae;Marchantiophyta;generalist;12;101;0.00878834018102136;0.00551632494854843;0.345952936114426;0.152825152185148
Distichium capillaceum;Plantae;Bryophyta;generalist;14;104;0.00136597920410285;0.0077334507691365;0.180657965019943;0.167137349456867
Diura nanseni;Animalia;Arthropoda;cold;47;49;-0.0150831106900346;0.00631667306848616;-0.110525627393991;0.0896362171295084
Doris pseudoargus;Animalia;Mollusca;generalist;8;70;-0.000262077431833726;0.00538746473948556;0.120942956182738;0.314038359496789
Doto coronata;Animalia;Mollusca;generalist;2;82;-0.0128456097560975;NA;-0.474685360205297;NA
Draba alpina;Plantae;Tracheophyta;cold;12;61;-0.00329780029164063;0.00207962761515589;0.00271546186760498;0.0538224081915572
Draba incana;Plantae;Tracheophyta;semicold;28;59;0.0316006081800128;0.00519883726797625;0.106763295827569;0.176994658764939
Draba verna;Plantae;Tracheophyta;generalist;9;61;0.00622071206369974;0.00264070832168519;0.0122042336664648;0.0815530874951436
Dryas octopetala;Plantae;Tracheophyta;semicold;32;68;-0.0193826057506756;0.00876393926593813;-0.263644281026158;0.187601921574899
Dryopteris expansa;Plantae;Tracheophyta;generalist;38;104;0.000177724741263365;0.00452900648759299;-0.104189331834322;0.103568655445877
Dryopteris filix-mas;Plantae;Tracheophyta;generalist;39;65;0.00827951530509298;0.00498023485967363;-0.11471258976176;0.104013054131599
Eana osseana;Animalia;Arthropoda;cold;7;53;0.0154358373511059;0.0126864932903168;0.294481608163087;0.1915512859259
Eleocharis acicularis;Plantae;Tracheophyta;generalist;2;54;-0.00691185185185198;NA;-0.249746184098189;NA
Eleocharis quinqueflora;Plantae;Tracheophyta;generalist;34;68;0.0121997120351906;0.00662148056210501;-0.0698461400335556;0.140056311629767
Eleocharis uniglumis;Plantae;Tracheophyta;generalist;17;71;0.0143127978741529;0.00721679553579064;-0.0995115773700709;0.187478034794628
Elymus caninus;Plantae;Tracheophyta;generalist;35;70;-0.00526160921292532;0.00555330913781016;-0.140998131249317;0.114511364664199
Elymus macrourus;Plantae;Tracheophyta;cold;31;78;0.00287496796878762;0.0077934802450431;-0.186966914265695;0.166134863106093
Elymus repens;Plantae;Tracheophyta;generalist;26;76;0.000119332066457201;0.00619176141494906;-0.16790116649736;0.127272210329484
Empetrum nigrum;Plantae;Tracheophyta;generalist;38;120;-0.0151639866019229;0.00578616035634528;-0.274655715527401;0.124801530425915
Enallagma cyathigerum;Animalia;Arthropoda;generalist;22;70;0.00137041465504671;0.00616828481419348;0.00434851842411837;0.143725380113822
Ephemera vulgata;Animalia;Arthropoda;generalist;7;53;0.00453516010404664;0.00809213492741156;0.0145983913170944;0.133738549878324
Ephemerum serratum;Plantae;Bryophyta;generalist;2;90;0.00278444444444482;NA;0.129143558282226;NA
Epilobium alsinifolium;Plantae;Tracheophyta;semicold;18;58;-0.00678486227739103;0.0118519591300747;-0.197864944105377;0.180502223586318
Epilobium anagallidifolium;Plantae;Tracheophyta;cold;26;63;-0.00415472325301861;0.0107638087571961;-0.0928918938481916;0.205237429004734
Epilobium collinum;Plantae;Tracheophyta;generalist;24;62;-0.00294463827940049;0.00579633092944092;-0.15027980460901;0.109618577824597
Epilobium davuricum;Plantae;Tracheophyta;cold;16;55;0.0247839655995796;0.0122113237647859;-0.351186677923348;0.185913348041799
Epilobium hornemannii;Plantae;Tracheophyta;semicold;30;62;0.0035918582299175;0.00895207372463382;-0.0672314646496666;0.16189310724527
Epilobium lactiflorum;Plantae;Tracheophyta;semicold;18;58;-0.00512677749029438;0.0118389753152629;-0.565557374325987;0.207760652546322
Epilobium montanum;Plantae;Tracheophyta;generalist;39;86;0.000307011097249546;0.00454490550122668;-0.149109717172407;0.0961946636191609
Epilobium palustre;Plantae;Tracheophyta;generalist;30;65;0.0139234516675164;0.00748254972110367;-0.183456278100813;0.157410991600352
Epipactis atrorubens;Plantae;Tracheophyta;generalist;19;68;0.00314999289358944;0.00500542358989882;0.0528601606247057;0.108535939425856
Epipactis helleborine;Plantae;Tracheophyta;generalist;11;53;0.0169544896236409;0.0114832684020523;0.240414008343108;0.223770188957003
Equisetum arvense;Plantae;Tracheophyta;generalist;33;67;-0.0132108248582373;0.00769894767497172;-0.368082011621705;0.124082675479312
Equisetum palustre;Plantae;Tracheophyta;semicold;31;66;0.00359990013861562;0.00689365929388524;-0.19435440471226;0.125757475723786
Equisetum pratense;Plantae;Tracheophyta;generalist;24;66;-0.00514487709853838;0.00972496465648448;-0.496064872251733;0.157253355215797
Equisetum variegatum;Plantae;Tracheophyta;cold;36;63;-0.00176249550027855;0.00882071771904178;-0.218811420162897;0.169861931275945
Erica tetralix;Plantae;Tracheophyta;generalist;30;55;0.0251687259935375;0.00564390526406212;0.168582691175948;0.140620359149755
Erigeron borealis;Plantae;Tracheophyta;semicold;33;80;-0.0176137115873246;0.00791561606200722;-0.464227167924337;0.17230463949584
Erigeron politus;Plantae;Tracheophyta;cold;42;116;0.000755230093970195;0.00240092632029978;0.0524460238179356;0.0650588298911015
Erigeron uniflorus;Plantae;Tracheophyta;cold;28;63;0.0126394362598861;0.00955719172170743;-0.218317384624979;0.177434941892962
Eriophorum angustifolium;Plantae;Tracheophyta;generalist;37;70;-0.0149473510162578;0.00800319364879552;-0.383232295651091;0.145218529916116
Eriophorum latifolium;Plantae;Tracheophyta;generalist;49;66;0.00790217702954364;0.00419306230911579;-0.0223096759717417;0.0954297448135599
Eriophorum scheuchzeri;Plantae;Tracheophyta;cold;24;60;-0.0166091885888575;0.0112881133844364;-0.338712990107926;0.2296892649203
Eriophorum vaginatum;Plantae;Tracheophyta;generalist;30;104;-0.0120604754622114;0.00668678788325787;-0.22117248659625;0.136761120015268
Eulithis populata;Animalia;Arthropoda;semicold;8;50;-0.0340621173348487;0.0270071545988181;0.718071179547403;0.528068296523246
Euphrasia frigida;Plantae;Tracheophyta;semicold;31;55;-0.00459841910519158;0.0102218958719935;-0.00460476367612521;0.196133986398888
Euphrasia stricta;Plantae;Tracheophyta;generalist;28;98;-0.00222957730881661;0.00469063773693703;-0.0496942314658837;0.127893541605115
Euphrasia vernalis;Plantae;Tracheophyta;semicold;14;104;0.0039872427867876;0.00642546609214813;0.141760359591531;0.148532451930292
Facelina auriculata;Animalia;Mollusca;generalist;3;64;0.00238796072507531;0.00182931950171228;-0.00346195447097293;0.227679536779167
Falco columbarius;Animalia;Chordata;cold;9;55;0.0235025542666745;0.00990269474165851;0.119131445136201;0.336183107475562
Fallopia convolvulus;Plantae;Tracheophyta;generalist;4;57;-0.0087290387166809;0.0121959875770785;0.3313287129317;0.990106549054822
Festuca ovina;Plantae;Tracheophyta;semicold;30;56;-0.00883235828279374;0.0101545118707706;-0.244672041308746;0.194871099057287
Festuca richardsonii;Plantae;Tracheophyta;cold;17;71;0.00763320759854663;0.00513885542911139;0.203872843960404;0.144160979755317
Festuca rubra;Plantae;Tracheophyta;generalist;46;70;-0.00772638098769309;0.00507945500593755;-0.323734277691726;0.113946399227203
Festuca vivipara;Plantae;Tracheophyta;generalist;41;56;1.70283191054289e-05;0.00709258242193113;0.0391687352344343;0.131942759282224
Ficedula hypoleuca;Animalia;Chordata;semicold;4;64;0.0180057121378075;0.0116174929111026;0.510211791470561;0.336341758750133
Fissidens exilis;Plantae;Bryophyta;generalist;2;95;-0.000171999999999815;NA;-0.00682822994136992;NA
Fissidens osmundoides;Plantae;Bryophyta;generalist;12;99;0.010759693912893;0.00546617456361122;0.429835021292351;0.168442300345158
Fissidens viridulus;Plantae;Bryophyta;generalist;3;95;-0.000923189504373519;0.000705515296002072;-0.0345765165032835;0.0345280120596422
Flexitrichum flexicaule;Plantae;Bryophyta;generalist;16;102;0.0128329739306599;0.00652267784919467;0.487090093176198;0.183342604657901
Flexitrichum gracile;Plantae;Bryophyta;generalist;7;98;0.00932210415472257;0.00698110829927605;0.505539785999892;0.209617817841756
Fomitopsis betulina;Fungi;Basidiomycota;generalist;4;85;0.0136678676187623;0.00431478074388411;0.254776382652212;0.604030854383982
Frangula alnus;Plantae;Tracheophyta;generalist;5;51;-0.0182034423216442;0.0103252742156604;0.279895856366859;0.293378394943255
Fringilla coelebs;Animalia;Chordata;generalist;9;94;-0.00143343060123683;0.0031324876462209;0.103191642739788;0.106966773450523
Fringilla montifringilla;Animalia;Chordata;semicold;12;107;-0.00980722758688501;0.00315630431205714;-0.442253795551229;0.132809721102362
Frullania tamarisci;Plantae;Marchantiophyta;generalist;9;108;0.00501723692702375;0.00758764818580867;0.342852938404125;0.229255603197912
Fumaria officinalis;Plantae;Tracheophyta;generalist;8;63;0.00499492253860232;0.00943980646578334;-0.248010491298192;0.15940357812605
Fuscocephaloziopsis albescens;Plantae;Marchantiophyta;cold;3;57;-0.00134265354043658;0.00118875208344714;-0.0462527342792872;0.0419669660677949
Fuscocephaloziopsis lunulifolia;Plantae;Marchantiophyta;generalist;9;84;0.0119091488723316;0.00485821756405889;0.184514095163281;0.190868472969056
Gagea lutea;Plantae;Tracheophyta;generalist;15;53;0.00782903904494394;0.00491436514813729;0.0185329897170124;0.107485680334473
Galba truncatula;Animalia;Mollusca;generalist;2;89;-0.0110968651685392;NA;-0.492897767299415;NA
Galeopsis tetrahit;Plantae;Tracheophyta;generalist;12;53;0.010477573419019;0.0136857063842315;-0.228476000641832;0.253376692819641
Galium boreale;Plantae;Tracheophyta;generalist;32;59;-0.0102584322529315;0.00751794708342162;-0.364486327249446;0.102957374222359
Galium odoratum;Plantae;Tracheophyta;generalist;33;66;-0.00255373055579309;0.00540484387603847;-0.136040470019787;0.109793512603876
Galium palustre;Plantae;Tracheophyta;generalist;37;67;0.00450454560303852;0.00615362656287087;-0.19547181009831;0.116099954444597
Galium verum;Plantae;Tracheophyta;generalist;19;53;-0.00118954665243169;0.00851784101321981;-0.119859943230989;0.127527162064854
Gavia arctica;Animalia;Chordata;semicold;5;108;-0.00642918614761591;0.00316155577115578;-0.320326195249726;0.0849525406562447
Gavia stellata;Animalia;Chordata;semicold;4;107;-0.020026849517895;0.0101613772905438;-0.730696006768713;0.654504287513487
Gentiana nivalis;Plantae;Tracheophyta;cold;13;55;-0.0223154760094038;0.0163127155948673;-0.796705257038056;0.228901816462999
Gentiana purpurea;Plantae;Tracheophyta;semicold;2;64;-0.000206249999999931;NA;0.100738924788453;NA
Gentianella amarella;Plantae;Tracheophyta;generalist;11;65;0.00357080070937128;0.0147835693598226;-0.100763551695848;0.218496515436343
Gentianella campestris;Plantae;Tracheophyta;semicold;29;71;0.0165303998049879;0.00621985853023216;-0.060071188118225;0.159058663522299
Geranium sylvaticum;Plantae;Tracheophyta;generalist;35;60;-0.021632559733029;0.00848950320302807;-0.310831276849857;0.145593741006438
Geum rivale;Plantae;Tracheophyta;generalist;32;54;-0.0212240684441197;0.00810806926602275;-0.315352619842737;0.130772294704303
Geum urbanum;Plantae;Tracheophyta;generalist;28;55;-0.0054174072877764;0.00510380669500159;-0.0431166515507059;0.0934191785355426
Gibbula tumida;Animalia;Mollusca;cold;6;62;-0.000995712699000509;0.00551699955171683;-0.0228712891512485;0.274140201161631
Glaucidium passerinum;Animalia;Chordata;generalist;9;61;0.000420564637271582;0.00482873945679816;-0.0904530053178375;0.0780836875372209
Glossiphonia complanata;Animalia;Annelida;generalist;13;53;-0.0118992415065145;0.00792557430024838;-0.271872978712451;0.154254452676148
Glyceria fluitans;Plantae;Tracheophyta;generalist;19;52;0.00287190426178305;0.0081212670700597;-0.0390610634621981;0.126384142445918
Grimmia funalis;Plantae;Bryophyta;generalist;5;71;-0.00474988843147754;0.000489698406775868;-0.126682438572195;0.050355339003062
Grimmia ramondii;Plantae;Bryophyta;generalist;4;71;0.00855084065562689;0.0097845817737709;-0.203980167454503;0.476013106512383
Grimmia torquata;Plantae;Bryophyta;generalist;6;101;0.0110383628564189;0.00909939411757531;0.529787758101266;0.258026511378403
Gymnadenia conopsea;Plantae;Tracheophyta;semicold;31;68;0.0113920824925787;0.00749466770295469;0.169623703735313;0.135271755835616
Gymnadenia nigra;Plantae;Tracheophyta;cold;5;69;-0.00268230105520408;8.17197627086927e-05;-0.0580289812283083;0.0457873661227756
Gymnocolea inflata;Plantae;Marchantiophyta;generalist;4;92;0.0158657931000249;0.00769889951075987;0.476870613403721;0.203273933996412
Gymnomitrion concinnatum;Plantae;Marchantiophyta;semicold;5;109;0.0143650300176162;0.00874693152928993;0.464698138545501;0.15799593928155
Gymnostomum aeruginosum;Plantae;Bryophyta;generalist;10;111;0.0113042883504559;0.00257793833211809;0.324191211630079;0.0751254124818174
Gyraulus acronicus;Animalia;Mollusca;semicold;33;92;-0.0111434288359435;0.00307611047271444;-0.139631288380083;0.0902136956379224
Haematopus ostralegus;Animalia;Chordata;generalist;4;82;-0.0224408206533048;0.00769183742029229;-0.44988928841117;0.223456202277884
Halesus radiatus;Animalia;Arthropoda;generalist;9;50;-0.000926102855847624;0.0104254052446719;0.0199685643302453;0.120643809241585
Haliplus confinis;Animalia;Arthropoda;generalist;7;108;-0.00188013777606129;0.00210345751303426;0.00924509747002948;0.0685301338898274
Hammarbya paludosa;Plantae;Tracheophyta;generalist;7;56;0.0256731832375721;0.016371513851124;1.24255193188839;0.346478683945164
Harpanthus flotovianus;Plantae;Marchantiophyta;semicold;4;91;0.0149611241449687;0.00507297273388252;0.796061606140702;0.321239977650187
Helobdella stagnalis;Animalia;Annelida;generalist;23;52;-0.00625824800412872;0.0060677400781283;-0.0315160090237453;0.120593451548108
Hemiclepsis tessulata;Animalia;Annelida;generalist;11;52;-0.00234479575845076;0.0158833431922977;-0.0735362078668522;0.220506993731353
Hepatica nobilis;Plantae;Tracheophyta;generalist;23;74;-0.000262484305680108;0.00309469390982849;-0.0767870329280597;0.0679402160200506
Hepialus fusconebulosa;Animalia;Arthropoda;generalist;7;50;-0.00153244208072245;0.0138123506984197;-0.11215272073014;0.177538433409192
Hesperis matronalis;Plantae;Tracheophyta;generalist;8;72;0.00631184668449226;0.00540115120505575;0.0125433787181608;0.153092958753747
Hieracium caesium;Plantae;Tracheophyta;generalist;11;62;0.00703070846911235;0.0107234037888495;-0.0209776550280719;0.271147295181446
Hieracium lachenalii;Plantae;Tracheophyta;generalist;19;84;-0.00209827907632761;0.00535623090832631;-0.0400329052543675;0.137228080649097
Hippophae rhamnoides;Plantae;Tracheophyta;generalist;10;79;-0.000838278141733303;0.00243992278748884;-0.102411815875254;0.0581531694954652
Holcus lanatus;Plantae;Tracheophyta;semiwarm;13;55;0.0174312928763046;0.0064549389510263;0.21866167414107;0.177856767264819
Holocentropus picicornis;Animalia;Arthropoda;generalist;9;52;-0.00335589497206763;0.00580527223072872;0.0236097811475118;0.112828937949949
Humulus lupulus;Plantae;Tracheophyta;generalist;9;52;-0.000127806569470272;0.0110264646887353;0.105458607420309;0.266336096175229
Huperzia selago;Plantae;Tracheophyta;generalist;31;49;-0.0214155026798461;0.00883193357494205;-0.233583010590808;0.140994304729247
Hydroporus palustris;Animalia;Arthropoda;generalist;23;49;0.00314428354376774;0.00857197745115712;0.233368659231979;0.165418335123086
Hygrocybe russocoriacea;Fungi;Basidiomycota;generalist;14;50;-0.00811281978065488;0.0112592826800596;-0.0247068910570836;0.1570659067353
Hylesinus varius;Animalia;Arthropoda;generalist;2;89;-0.0128359550561794;NA;-0.345373791263745;NA
Hylocomium splendens;Plantae;Bryophyta;generalist;15;64;0.000324045598162384;0.0127225710752286;0.261630156101072;0.260703826191002
Hymenoloma crispulum;Plantae;Bryophyta;semicold;3;62;-0.0187583876625767;0.00276873747971652;-0.493215206863961;0.276037704725456
Hypericum hirsutum;Plantae;Tracheophyta;generalist;26;70;0.00622306560459277;0.00562144550260933;-0.101124502620632;0.120368442803757
Hypnum callichroum;Plantae;Bryophyta;generalist;22;111;-0.000777457287899623;0.0043730825514908;-0.0695501974752605;0.110771910731023
Hypnum cupressiforme;Plantae;Bryophyta;generalist;16;108;0.00365653942384735;0.0052899128028306;0.154859422121821;0.139537204387836
Hypnum hamulosum;Plantae;Bryophyta;semicold;27;117;0.00194914629133193;0.00458957256656607;-0.123501630741706;0.113050359712843
Hypnum revolutum;Plantae;Bryophyta;cold;16;120;0.00409142325662242;0.00328844269371237;0.142832271217796;0.0890594663793373
Hypogymnia physodes;Fungi;Ascomycota;generalist;6;52;0.0150299452114224;0.00765705639545488;-0.0297715996123215;0.274759358086
Hypopitys monotropa;Plantae;Tracheophyta;generalist;24;115;0.00366278745432983;0.00299112256287535;0.0683025111250193;0.0867279330564313
Ilybius fuliginosus;Animalia;Arthropoda;generalist;21;49;0.013413925091748;0.00879603311325802;0.228043138543289;0.176013071494913
Impatiens noli-tangere;Plantae;Tracheophyta;generalist;16;53;-0.00450720492096244;0.00659552379604291;-0.0165821784959;0.136192637630842
Iothia fulva;Animalia;Mollusca;semicold;6;50;0.00535488616115583;0.00186591536542724;0.169470265097963;0.054429427212546
Isopterygiopsis pulchella;Plantae;Bryophyta;generalist;6;76;0.00665986609909388;0.00627927507343312;0.15828778487647;0.177691121974282
Isothecium alopecuroides;Plantae;Bryophyta;generalist;6;91;0.00378311936414293;0.00413779463106274;0.0406565621801144;0.144664202808077
Judolia montivagans;Animalia;Arthropoda;semicold;3;66;0.0223739010989007;0.0152485502277699;0.422151034542629;1.16920391095099
Juncus alpinoarticulatus;Plantae;Tracheophyta;generalist;43;58;0.00437314314734689;0.00630006698468857;-0.18945799507227;0.122566468056419
Juncus arcticus;Plantae;Tracheophyta;cold;5;51;0.0222438475762843;0.016270436006804;0.158765597281704;0.330223068409506
Juncus articulatus;Plantae;Tracheophyta;generalist;37;58;0.00598718836834387;0.00571089786634497;-0.149985463435074;0.112999433698759
Juncus bufonius;Plantae;Tracheophyta;generalist;18;53;-0.000212628719439031;0.00975676032129945;-0.308430214477958;0.138223225731708
Juncus bulbosus;Plantae;Tracheophyta;generalist;35;59;0.00663537932275029;0.00639798423143354;0.0189239600011614;0.117232665350166
Juncus castaneus;Plantae;Tracheophyta;cold;32;60;-0.0123050034751468;0.00678443766109127;-0.218380545505603;0.132192290301481
Juncus conglomeratus;Plantae;Tracheophyta;generalist;19;49;0.0175566558750776;0.00905638867076496;0.0886685484624495;0.144888147287437
Juncus effusus;Plantae;Tracheophyta;generalist;32;53;0.0100726302745729;0.00622411222000317;-0.0451062693954018;0.109861945135281
Juncus gerardii;Plantae;Tracheophyta;generalist;16;75;0.00556525437200509;0.00850510377873413;-0.080665387714331;0.169766341098959
Juncus squarrosus;Plantae;Tracheophyta;generalist;13;49;-0.00689155421064077;0.00826281034529243;-0.134508834022242;0.133713334167215
Juncus stygius;Plantae;Tracheophyta;generalist;12;55;-0.00790153482931135;0.0108289253461042;-0.330939328837813;0.157923246787194
Juncus triglumis;Plantae;Tracheophyta;semicold;32;63;-0.00431360065977564;0.00914320661852386;-0.117311858202001;0.182613034553022
Jungermannia eucordifolia;Plantae;Marchantiophyta;generalist;2;65;0.0119753288016942;NA;0.474205357837405;NA
Kalmia procumbens;Plantae;Tracheophyta;semicold;31;49;-0.0312642428037537;0.0098588415304629;-0.277731455418195;0.179282364186042
Knautia arvensis;Plantae;Tracheophyta;generalist;22;56;0.00573573154947957;0.00760794714348466;-0.105916436586231;0.122104263476387
Koenigia islandica;Plantae;Tracheophyta;cold;10;63;0.00797703642555513;0.0165457556231145;0.221568854471456;0.296245644337236
Lagopus lagopus;Animalia;Chordata;cold;8;108;-0.0142531313273745;0.0047535861073311;-0.164727832425838;0.120820347141725
Lapsana communis;Plantae;Tracheophyta;generalist;14;53;-0.00973984642250391;0.00797015319799878;-0.0739013733954065;0.156101071611002
Larus argentatus;Animalia;Chordata;generalist;6;82;-0.0210547533738833;0.00608222237362118;-0.402754827309616;0.151695447179198
Larus canus;Animalia;Chordata;cold;12;104;-0.0156834370731774;0.00734623425288752;-0.433139269986492;0.181032739688491
Larus fuscus;Animalia;Chordata;generalist;5;83;-0.0115724799875166;0.0120660153784312;-0.465265277276347;0.246700239222111
Larus marinus;Animalia;Chordata;generalist;7;83;-0.0235307037448698;0.0031179794586626;-0.532074042386618;0.194101791652971
Lathyrus pratensis;Plantae;Tracheophyta;generalist;25;59;-0.0035027791858926;0.0103321778361553;-0.237298049407736;0.149887481090008
Lathyrus vernus;Plantae;Tracheophyta;generalist;30;73;0.00586208984927855;0.00560555256547342;-0.212719737780727;0.10294835710755
Lejeunea cavifolia;Plantae;Marchantiophyta;generalist;5;96;0.00247769769195393;0.00343798611199064;0.0614715347005043;0.105143527429919
Lemmus lemmus;Animalia;Chordata;cold;8;103;-0.00905218939327527;0.00547659797981491;-0.281772603013844;0.170617893222266
Lentinus substrictus;Fungi;Basidiomycota;generalist;10;68;0.0263509534419728;0.00798439861896701;0.502866970003217;0.22666503396692
Lepeta caeca;Animalia;Mollusca;cold;5;89;-0.000759019973771577;0.005468131316282;-0.0557458466543424;0.118313743784586
Lepidostoma hirtum;Animalia;Arthropoda;generalist;27;58;-0.0059766216485144;0.00630738204160387;0.00849361456435346;0.076763190268728
Lepidozia reptans;Plantae;Marchantiophyta;generalist;7;87;0.0105827879268764;0.00543603223384272;0.1531940733791;0.241044758941654
Leptophlebia vespertina;Animalia;Arthropoda;generalist;25;53;-0.00755678899717266;0.00744822695505575;-0.105500936394141;0.112037772802016
Lescuraea incurvata;Plantae;Bryophyta;cold;3;82;0.02279417879493;0.000698835398028475;0.614338032675303;0.500466827192886
Lescuraea saxicola;Plantae;Bryophyta;cold;2;63;-0.00136952380952368;NA;-0.138380633259277;NA
Limnephilus borealis;Animalia;Arthropoda;cold;7;68;-0.00136242701117145;0.00738912048294625;0.226769847897867;0.19375995119645
Limnephilus flavicornis;Animalia;Arthropoda;generalist;3;52;0.00392108626974414;0.0136779427921662;-0.00738005656983932;0.223992032620673
Limnephilus nigriceps;Animalia;Arthropoda;cold;8;69;0.000351187634760092;0.00565074316335681;0.106623068754909;0.105007024501695
Limnephilus rhombicus;Animalia;Arthropoda;generalist;6;70;-0.0113838550052372;0.0128194383955639;0.254790009772616;0.271196259282353
Limnephilus stigma;Animalia;Arthropoda;generalist;5;55;-0.000453596861226029;0.011899744116157;0.138858202853838;0.284526501637319
Linum catharticum;Plantae;Tracheophyta;generalist;32;80;0.0103157857794998;0.00420808302616705;0.0636794419832332;0.105205581941023
Loeskypnum badium;Plantae;Bryophyta;semicold;2;69;0.0165104393026404;NA;2.23548979690819;NA
Lolium arundinaceum;Plantae;Tracheophyta;warm;14;118;0.000344459683751515;0.0044827557192619;0.0181069359883527;0.10341533627449
Lolium giganteum;Plantae;Tracheophyta;generalist;15;54;-0.00276869957994218;0.00315032855907619;-0.000631773162967577;0.054751248640676
Lolium pratense;Plantae;Tracheophyta;generalist;71;117;0.00269865097582874;0.0024618455588747;-0.0467940895268864;0.0686461988044092
Lophocolea bidentata;Plantae;Marchantiophyta;generalist;3;101;0.00139050095163294;0.00568634399971724;0.276342859838122;0.157246740025686
Lophozia ventricosa;Plantae;Marchantiophyta;generalist;8;101;0.0105732787359151;0.00704902152369781;0.680270862308306;0.246833522779206
Lotus corniculatus;Plantae;Tracheophyta;generalist;40;55;0.00323404913600026;0.00729652326890903;-0.195819357358552;0.122788119357414
Luzula arcuata;Plantae;Tracheophyta;cold;20;59;-0.015083531611688;0.00754100879547833;-0.410910394441381;0.168983053828615
Luzula multiflora;Plantae;Tracheophyta;generalist;59;67;0.000381508909818575;0.00479979287369282;-0.143049645196785;0.106635436760736
Luzula pilosa;Plantae;Tracheophyta;generalist;32;55;-0.0179303150585147;0.00868277370896879;-0.35628860020556;0.127187622823984
Luzula spicata;Plantae;Tracheophyta;cold;36;70;-0.0193809686460571;0.00817774320446747;-0.499142517601219;0.162115403874118
Luzula sudetica;Plantae;Tracheophyta;semicold;43;66;0.00712463016655775;0.00717579123682644;-0.33234189956451;0.133012010481963
Luzula sylvatica;Plantae;Tracheophyta;generalist;21;55;0.00652659184358138;0.00786404970483781;0.151559006684918;0.162168208368758
Lycopodium lagopus;Plantae;Tracheophyta;cold;25;99;-0.00419498947739705;0.00356184900609976;-0.106034867503559;0.0797656561994321
Lyrurus tetrix;Animalia;Chordata;generalist;5;81;-0.00467735821127116;0.00320997075737956;-0.120581623483403;0.20402814141277
Malus pumila;Plantae;Tracheophyta;generalist;10;91;-0.00261051736418153;0.00218547179610767;-0.107408006825182;0.107985650118101
Marchantia quadrata;Plantae;Marchantiophyta;generalist;6;108;-0.00330658769796292;0.00630337224209333;0.0148962880651862;0.190863625320316
Margarites groenlandicus;Animalia;Mollusca;cold;8;62;0.000735168371697081;0.00386009684199072;0.0499579537659276;0.0823273739697883
Margarites helicinus;Animalia;Mollusca;semicold;6;101;-0.00266178734756117;0.00337372456940558;-0.106012354992658;0.0993712945462572
Marsupella emarginata;Plantae;Marchantiophyta;generalist;7;97;0.0100747094038584;0.00479673642457868;0.350090880516231;0.126504993457473
Matricaria discoidea;Plantae;Tracheophyta;generalist;68;112;0.000568836282055462;0.00266435069630784;-0.105972762808015;0.0746301915393126
Matteuccia struthiopteris;Plantae;Tracheophyta;generalist;21;49;-0.0216788386352385;0.0096851443037784;-0.364487707225736;0.131863278902155
Megarthrus depressus;Animalia;Arthropoda;generalist;2;61;-0.00470065573770471;NA;1.14969737470164;NA
Melampyrum pratense;Plantae;Tracheophyta;generalist;30;55;-0.0165339048015634;0.0090374743894506;-0.208080920818821;0.140635133569391
Melica nutans;Plantae;Tracheophyta;generalist;32;55;-0.00443449258005253;0.00779582772179234;-0.198592928203684;0.12444030631837
Mentha arvensis;Plantae;Tracheophyta;generalist;16;58;0.00979043652537178;0.00785672632751327;0.0396943905937902;0.140282258432579
Mergus serrator;Animalia;Chordata;semicold;3;50;-0.0203893887846083;0.0357499379068817;-0.29593513719536;0.685241719496304
Mesoptychia bantriensis;Plantae;Marchantiophyta;semicold;4;112;0.0141729494417069;0.00359117564968077;0.507476444849819;0.0854224233222629
Mesoptychia collaris;Plantae;Marchantiophyta;generalist;2;65;0.00486310729274877;NA;3.34122606753414;NA
